Seed, Width, Height, Theta, Relays, Subscribers, Slot Length, MeanQ, ILP, LPR, GDY
1307920354258800000, 30000.0, 30000.0, 40, 20, 80, 0.0010, 50000.0, 1.5228258336532748E11, 1.382701043680521E11, 1.376307518240298E11
1307920355178106000, 30000.0, 30000.0, 40, 30, 80, 0.0010, 50000.0, 1.5688368362320834E11, 1.4551998256928888E11, 1.4499559939499368E11
1307920356340058000, 30000.0, 30000.0, 40, 40, 80, 0.0010, 50000.0, 1.5792807969909076E11, 1.5046137308638797E11, 1.5164228992211642E11
1307920357923465000, 30000.0, 30000.0, 40, 50, 80, 0.0010, 50000.0, 1.763513128149822E11, 1.7119030374213388E11, 1.7180265675914737E11
1307920359299791000, 30000.0, 30000.0, 40, 60, 80, 0.0010, 50000.0, 1.594361425781629E11, 1.5352815540795828E11, 1.5302419696442474E11
1307920360920938000, 30000.0, 30000.0, 40, 70, 80, 0.0010, 50000.0, 1.6711473415336606E11, 1.637011791741076E11, 1.6494607197871533E11
