Seed, Width, Height, Theta, Relays, Subscribers, Slot Length, MeanQ, ILP, LPR, GDY
1307919946217456000, 30000.0, 30000.0, 40, 20, 80, 0.0010, 50000.0, 1.5732459450261642E11, 1.4722919178530508E11, 1.4803978607134985E11
1307919947557227000, 30000.0, 30000.0, 50, 20, 80, 0.0010, 50000.0, 1.6015483312328397E11, 1.481470636862612E11, 1.4659355676420728E11
1307919948906843000, 30000.0, 30000.0, 60, 20, 80, 0.0010, 50000.0, 1.7100638923616553E11, 1.5588126701905328E11, 1.5263155568269977E11
1307919949838119000, 30000.0, 30000.0, 70, 20, 80, 0.0010, 50000.0, 1.518239722791343E11, 1.4023308636397385E11, 1.4014345998878763E11
1307919950766533000, 30000.0, 30000.0, 80, 20, 80, 0.0010, 50000.0, 1.6359845057517264E11, 1.5112727541587714E11, 1.5204425011385156E11
1307919951765581000, 30000.0, 30000.0, 90, 20, 80, 0.0010, 50000.0, 1.5571348319983078E11, 1.4001120328803687E11, 1.3896512958379767E11
