Seed, Width, Height, Theta, Relays, Subscribers, Slot Length, MeanQ, ILP, LPR, GDY
1307920421513727000, 30000.0, 30000.0, 40, 60, 80, 0.0010, 50000.0, 1.744077898653958E11, 1.6917295928978537E11, 1.7203681328163528E11
1307920422988028000, 30000.0, 30000.0, 50, 60, 80, 0.0010, 50000.0, 1.8525695188615323E11, 1.7796362449027496E11, 1.7661181195908386E11
1307920424556595000, 30000.0, 30000.0, 60, 60, 80, 0.0010, 50000.0, 1.6479379959662814E11, 1.5679469229189456E11, 1.5731029969932584E11
1307920426225412000, 30000.0, 30000.0, 70, 60, 80, 0.0010, 50000.0, 1.8451677712306924E11, 1.780775591273806E11, 1.792270267604487E11
1307920427700012000, 30000.0, 30000.0, 80, 60, 80, 0.0010, 50000.0, 1.745817841835061E11, 1.6531757970551733E11, 1.6531757970551733E11
1307920429173623000, 30000.0, 30000.0, 90, 60, 80, 0.0010, 50000.0, 1.545910745668289E11, 1.3914900710272247E11, 1.4108430119628653E11
